Scientific name,Common name,Order,Family,Trophic level,Num. w plastic,Total num. sampled,FO of plastic,Mean num particles per indv,Habitat,Commercial status,IUCN status,Oceanographic province,Method type,Year of collection,Publication year,Reference,Polymer identification,Blanks used,Clean lab procedures,Size detection threshold (mm),Degree of prior sampling,Plastic FO in PICES region,Residency,Distribution in PICES region,Distribution globally,Already an indicator?,Threat of human exposure,Total bioindicator score,Notes
Alepisaurus ferox,Longnosed lancetfish,Aulopiformes,Alepisauridae,4,43,144,0.298611111,2.7,mesopelagic,,LC,NPTG,1,2007-2012,2013,Choy and Drazen 2013,none,NA,NA,NA,4,3,4,4,4,4,1,24,
Lampris megalopsis,Big-eye Moonfish/Opah,Lampriformes,Lampridae,4.2,49,115,0.426086957,2.3,bathypelagic,,NA,NPTG,1,2007-2012,2013,Choy and Drazen 2013,none,NA,NA,NA,4,3,4,4,4,2,3,24,Considered one species (Lampris guttatus) by FishBase
Alepisaurus ferox,Longnosed lancetfish,Aulopiformes,Alepisauridae,4,47,192,0.244791667,NA,mesopelagic,,LC,NPTG,1,November 2010-August 2011,2013,Jantz et al. 2013,none,NA,NA,1,4,3,4,4,4,4,1,24,
Coryphaena hippurus,Common dolphinfish,Perciformes,Coryphaenidae,4.4,1,42,0.023809524,NA,pelagic-neritic,,LC,NPTG,1,2007-2012,2013,Choy and Drazen 2013,none,NA,NA,NA,2,2,4,4,4,4,3,23,
Lampris incognitus,Small-eye Moonfish/Opah,Lampriformes,Lampridae,4.2,14,24,0.583333333,5.8,bathypelagic,,NA,NPTG,1,2007-2012,2013,Choy and Drazen 2013,none,NA,NA,NA,2,4,4,4,4,2,3,23,Considered one species (Lampris guttatus) by FishBase
Prionace glauca,Blue shark,Carcharhiniformes,Carcharhinidae,4.4,29,893,0.032474804,0.0358,pelagic-oceanic,,NT,CCAL,1,1995-1997,2010,Markaida and Sosa-Nishizaki 2010,none,NA,NA,0.5,4,2,4,4,4,2,3,23,
Coryphaena hippurus,Common dolphinfish,Perciformes,Coryphaenidae,4.4,1,8,0.125,1,pelagic-neritic,,LC,NPTG,3,,2020,Hyrenbach et al. 2020,FTIR,not described,not described,0.25,2,2,4,4,4,4,3,23,
Cololabis saira,Pacific saury,Beloniformes,Scomberesocidae,3.7,18,52,0.346153846,3.2,pelagic-oceanic,,Not assessed,NPPF,2,2008,2010,Boerger et al. 2010,none,not described,not described,NA,3,3,4,4,3,2,3,22,
Hygophum reinhardtii,Reinhardt's Lantern fish,Myctophiformes,Myctophidae,3.2,16,45,0.355555556,1.3,bathypelagic,,LC,NPPF,2,2008,2010,Boerger et al. 2010,none,not described,not described,NA,2,3,4,4,4,4,1,22,
Mugil cephalus,Flathead gray mullet,Mugiliformes,Mugilidae,2.5,23,60,0.383333333,0.583333333,benthopelagic,,LC,CHIN,3,February - March 2017,2018,Cheung et al. 2018,FTIR,open-air lab control,yes,0.01,4,3,4,2,4,2,3,22,
