Scientific name,Common name,Order,Family,Trophic level,Num. w plastic,Total num. sampled,FO of plastic,Mean num particles per indv,Habitat,Primary foraging behavior,Aggregation behavior,Commercial status,Aquaculture status,IUCN status,Oceanographic province,Method type,Polymer identification,Year of collection,Publication year,Reference,Mean weight per individual (g),Extra notes,Carapace length (cm),Notes on selection of pelagic or neritic
Caretta caretta,Loggerhead Turtle,Testudines,Cheloniidae,3,4,5,0.8,81.6,Pelagic,Active Predation,Solitary,no,no,VU,"NPTG, WARM",1,FTIR in Jung et al 2019,2012 to 2016,2017,Clukey et al. (2017),29.4,,,
Caretta caretta,Loggerhead Turtle,Testudines,Cheloniidae,3,11,13,0.846,n/a,Neritic,Active Predation,Solitary,no,no,VU,KURO,1,none,2012 to 2015,2016,Fukuoka et al (2016),9.7,,,
Caretta caretta,Loggerhead Turtle,Testudines,Cheloniidae,3,1,1,1,n/a,Pelagic,Active Predation,Solitary,no,no,VU,North Central Pacific,1,none,1992,1992,Allen (1992),n/a,,59,
Caretta caretta,Loggerhead Turtle,Testudines,Cheloniidae,3,18,52,0.346,n/a,Pelagic,Active Predation,Solitary,no,no,VU,North Central Pacific,1,none,1990 to 1992,2005,Parker et al (2005),1.64406184,,,
Caretta caretta,Loggerhead Turtle,Testudines,Cheloniidae,3,2,2,1,n/a,Pelagic,Active Predation,Solitary,no,no,VU,North Central Pacific,1,none,1993 to 2011,2016,Wedemeyer-Strombel et al (2015) ,64.6,,,
Caretta caretta,Loggerhead Turtle,Testudines,Cheloniidae,3,1,1,1,1,Pelagic,Active Predation,Solitary,no,no,VU,"NE Pacific, Alaska",1,none,1991,1992,Bane (1992),0.84,,,
Caretta caretta,Loggerhead Turtle,Testudines,Cheloniidae,3,0,89,0,0,Neritic,Active Predation,Solitary,no,no,VU,"E Tropical Pacific, Mexico & Baja Cali",1,none,2003 to 2007,2011,Peckham et al (2011),0,,59-91,
Caretta caretta,Loggerhead Turtle,Testudines,Cheloniidae,3,1,1,1,n/a,Pelagic,Active Predation,Solitary,no,no,VU,"NW Pacific, Japan",1,none,1972,1985,Balazs 1985 I-Cc-11- Uchida pers comm,n/a,was raised in captivity until 90 d before it was sampled,30,pelagic chosen based on Briscoe et al 2016
Caretta caretta,Loggerhead Turtle,Testudines,Cheloniidae,3,1,1,1,1,Pelagic,Active Predation,Solitary,no,no,VU,"NW Pacific, Japan",1,none,1975,1985,Balazs 1985 I-Cc-12 - Uchida pers comm,n/a,,69,pelagic chosen based on Briscoe et al 2016
Caretta caretta,Loggerhead Turtle,Testudines,Cheloniidae,3,1,1,1,n/a,Pelagic,Active Predation,Solitary,no,no,VU,"NW Pacific, Japan",1,none,1975,1985,Balazs 1985 I-Cc-13 - Uchida pers comm,n/a,,60,pelagic chosen based on Briscoe et al 2016
Caretta caretta,Loggerhead Turtle,Testudines,Cheloniidae,3,1,1,1,n/a,Neritic,Active Predation,Solitary,no,no,VU,"NW Pacific, Japan",1,none,1980,1985,Balazs 1985 I-Cc-14 - Uchida pers comm,n/a,,84,neritic chosen based on Hatase et al 2010
Caretta caretta,Loggerhead Turtle,Testudines,Cheloniidae,3,1,1,1,2,Pelagic,Active Predation,Solitary,no,no,VU,"NW Pacific, Japan",1,none,1984,1985,Balazs 1985 I-Cc-15 - Uchida pers comm,n/a,,33,pelagic chosen based on Briscoe et al 2016
Chelonia mydas,Green Turtle,Testudines,Cheloniidae,2,1,53,0.02,0.02,Neritic,Grazing,Solitary,no,no,EN,"E Tropical Pacific, Galapagos",1,none,2009 to 2010,2011,Parra et al (2011),n/a,,,
Chelonia mydas,Green Turtle,Testudines,Cheloniidae,2,1,1,1,0.02,Neritic,Grazing,Solitary,no,no,EN,"N Central Pacific, Fakaofo Atoll",1,none,1981,1983,Balazs 1985 I-Cm-9 - Balazs 83b,0.48,,105,"certainly adult, so neritic"
Chelonia mydas,Green Turtle,Testudines,Cheloniidae,3,1,1,1,1,Captivity,Active Predation,Solitary,no,no,EN,NPTG,1,none,1975,1985,Balazs 1985 I-Cm-12 - GB unpub,3.5,"captive reared turtle, ate plastic in captivity",30,
Chelonia mydas,Green Turtle,Testudines,Cheloniidae,4,1,1,1,1,Neritic,Feeding from fish scraps,Solitary,no,no,EN,NPTG,1,none,1976,1985,Balazs 1985 I-Cm-13 - GB unpub ,0.88,"19 months before samlping, turtle was released after captive rearing",45,neritic chosen based on description of known behaviors of this turtle in Balazs 1985
Chelonia mydas,Green Turtle,Testudines,Cheloniidae,3,1,1,1,n/a,Pelagic,Active Predation,Solitary,no,no,EN,NPTG,1,none,1982,1985,Balazs 1985 I-Cm-14 - Balazs and Pillos unpub,n/a,,36,
Chelonia mydas,Green Turtle,Testudines,Cheloniidae,2,1,1,1,n/a,Neritic,Grazing,Solitary,no,no,EN,NPTG,1,none,1978,1980,Balazs 1985 I-Cm-15 - Balazs 80,n/a,speared by a fisherman,96,"certainly adult, so neritic"
Chelonia mydas,Green Turtle,Testudines,Cheloniidae,3,1,1,1,n/a,Pelagic,Active Predation,Solitary,no,no,EN,NPTG,1,none,1984,1985,Balazs 1985 I-Cm-25 - GB unpub,n/a,,35,
Chelonia mydas,Green Turtle,Testudines,Cheloniidae,unknown,3,3,1,n/a,unknown,unknown,Solitary,no,no,EN,"E Tropical Pacific, Costa Rica",1,none,1950,1971,"Balazs 1985 I-Cm-1 - Carr pers comm, in Cornelius 75, Hirth 71b 2 others",n/a,,,"Does Dr. Li have the 1971 publication?  If so, we could answer trophic and foraging behavior and habitat"
Chelonia mydas,Green Turtle,Testudines,Cheloniidae,2,1,1,1,6,Neritic,Grazing,Solitary,no,no,EN,"NW Pacific, Japan",1,none,1983,1985,Balazs 1985 I-Cm-7 - Uchida pers comm,n/a,,74,neritic chosen based on Fukuoka et al 2019 (Cm recruit to Japan between 45 and 58 cm)
Chelonia mydas,Green Turtle,Testudines,Cheloniidae,3,1,1,1,1,Pelagic,Active Predation,Solitary,no,no,EN,"NW Pacific, Japan",1,none,1972,1985,Balazs 1985 I-Cm-6 - Uchida pers comm,n/a,,43,pelagic chosen based on Fukuoka et al 2019 (Cm recruit to Japan between 45 and 58 cm)
