Species,Degree of prior sampling,Plastic FO in PICES region,Residency,Distribution in PICES region,Distribution globally,Already an indicator?,Threat of human exposure,Total bioindicator score,
Crassostrea gigas,4,4,4,4,4,4,4,28,
Mytilus edulis,4,4,4,4,4,4,4,28,
Venerupis philippinarum,4,4,4,4,4,2,4,26,
Mytilus galloprovincialis,3,4,4,4,4,2,4,25,
Crassostrea virginica,4,4,4,2,4,2,4,24,
Saccostrea cucullata,4,4,4,1,4,2,4,23,
Corbicula fluminea,4,2,4,3,2,2,4,21,
Patinopecten yessoensis,4,4,4,1,2,2,4,21,
Perna viridis,4,3,4,1,3,2,4,21,
Chlamys farreri,2,4,4,2,2,2,4,20,
Euphausia pacifia,4,2,4,4,3,2,1,20,
Meretrix meretrix,2,4,4,1,3,2,4,20,
Ostrea denselamellosa,NA,4,4,3,3,2,4,20,
Siliqua patula,4,NA,4,3,3,2,4,20,
Batillatira multiformis,NA,4,4,2,3,2,4,19,
Capitulum mitella,NA,4,4,3,4,2,2,19,
Emerita analoga,4,3,4,2,3,2,1,19,
Amphibalanus amphitrite,NA,4,4,3,4,2,1,18,
Corbicula japonica,2,2,4,2,2,2,4,18,
Meretrix Lusoria,2,NA,4,2,4,2,4,18,
Nerita chamaeleon,NA,4,4,1,3,2,4,18,
Alectryonella plicatula,2,NA,4,1,4,2,4,17,
Cyclina sinensis ,2,NA,4,1,4,2,4,17,
Fistulobalanus albicostatus,NA,4,4,3,3,2,1,17,
Tegillarca granosa,2,NA,4,1,4,2,4,17,
Austruca lactea,NA,4,4,2,3,2,1,16,
Neocalanus cristatus,4,2,4,1,2,2,1,16,
Pleuroncodes planipes,2,4,4,1,2,2,1,16,
Tegula funebralis,NA,NA,4,3,3,2,4,16,
Macrophthalmus convexus,NA,4,4,1,3,2,1,15,
Tetraclita japonica japonica,NA,4,4,1,3,2,1,15,
Crassostrea sikamea,NA,NA,4,1,3,2,4,14,
Metopograpsus frontalis,NA,4,4,1,2,2,1,14,
Crassostrea hongkongensis,NA,NA,NA,NA,NA,2,4,6,
Crassostrea angulata,NA,NA,NA,NA,NA,2,4,6,
Mactra veneriformis,1,NA,NA,NA,NA,NA,NA,1,
Sinonovacula constricta,1,NA,NA,NA,NA,NA,NA,1,
Busycon canaliculatu,1,NA,NA,NA,NA,NA,NA,1,
Scapharca subcrenata,1,NA,NA,NA,NA,NA,NA,1,
Bathochordaeus spp,1,NA,NA,NA,NA,NA,NA,1,
Anomia ephippium ,1,NA,NA,NA,NA,NA,NA,1,
Balanus amphitrite,1,NA,NA,NA,NA,NA,NA,1,
Bolinus brandaris,1,NA,NA,NA,NA,NA,NA,1,
Cerastoderma edule,1,NA,NA,NA,NA,NA,NA,1,
Cerastoderma glaucum,1,NA,NA,NA,NA,NA,NA,1,
Hexaplex trunculus,1,NA,NA,NA,NA,NA,NA,1,
Limecola balthica,1,NA,NA,NA,NA,NA,NA,1,
Littoraria sp.,1,NA,NA,NA,NA,NA,NA,1,
Littorina littorea,1,NA,NA,NA,NA,NA,NA,1,
Modiolus modiolus,1,NA,NA,NA,NA,NA,NA,1,
Perna canaliculus,1,NA,NA,NA,NA,NA,NA,1,
Perna perna,1,NA,NA,NA,NA,NA,NA,1,
Ruditapes decussatus,1,NA,NA,NA,NA,NA,NA,1,
Saccostrea forskalii,1,NA,NA,NA,NA,NA,NA,1,
Scrobicularia plana,1,NA,NA,NA,NA,NA,NA,1,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
