Scientific name,Common name,Order,Accessibility,Accessbility rationale,YEAR,Sample size,%FO,Prior data,FO in PICES,Residency,Distribution in PICES region,Distribution globally,Already an indicator?,Threat of human exposure,Total bioindicator score,AU,SOURCE,ENDN ,Region,country,area,start,nryr,Isamp,Min,GITdet,DIG ,Notes_Min,Naff,CalcM,navg,gavg,pnavg,pgavg,FINC
Fulmarus glacialis,Northern fulmar,Procellariiformes,Yes,,2012,67,92.5,4,4,4,3,3,4,2,24,Avery-Gomm et al.,Marine Pollution Bulletin,219,North Pacific,,Western Coast CAN US,2009,2,d,0.5,s,0,sieve_size,61.975,p,36.8,0.385,36.8,0.385,n
Fulmarus glacialis,Northern fulmar,Procellariiformes,Yes,,1976,23,,4,4,4,3,3,4,2,24,Baltz and Morejohn,Western Birds,737,North Pacific,USA,California,1974,2,d,,u,u,no_details,,u,,,1.47826087,,n
Fulmarus glacialis,Northern fulmar,Procellariiformes,Yes,,1997,3,100,4,4,4,3,3,4,2,24,Blight and Burger,Marine Pollution Bulletin,309,North Pacific,,Eastern Pacific,1987,1,d,,s,0,no_details,3,p,24,,24,,n
Fulmarus glacialis,Northern fulmar,Procellariiformes,Yes,,1980,38,57.9,4,4,4,3,3,4,2,24,Day  ,Thesis Report,726,North Pacific,USA,Alaska,1969,9,d,,s,,vis_insp,22.002,p,2.79,0.04,2.79,0.04,n
Fulmarus glacialis,Northern fulmar,Procellariiformes,Yes,,2014,178,75,4,4,4,3,3,4,2,24,Donnelly-Greenan et al.,Marine Pollution Bulletin,1111,North Pacific,USA,California,2003,5,d,0.5,s,,sieve_size,133.5,u,7.4,0.1229,,,n
Fulmarus glacialis,Northern fulmar,Procellariiformes,Yes,,2014,185,98,4,4,4,3,3,4,2,24,Donnelly-Greenan et al.,Marine Pollution Bulletin,1111,North Pacific,USA,California,2007,5,d,0.5,s,,sieve_size,181.3,u,24.1,0.5541,,,n
Fulmarus glacialis,Northern fulmar,Procellariiformes,Yes,,2005,190,71,4,4,4,3,3,4,2,24,Nevins et al. ,Conference Proceedings,1057,North Pacific,USA,California,2003,2,d,,s,,no_details,134.9,u,,,3.857894737,,n
Fulmarus glacialis,Northern fulmar,Procellariiformes,Yes,,2020,4,100,4,4,4,3,3,4,2,24,Padula et al.,Marine Pollution Bulletin,2320,North Pacific,USA,Aleutian Islands,2009,7,d,,s,0,vis_insp,4,u,,,,,u
Fulmarus glacialis,Northern fulmar,Procellariiformes,Yes,,1995,19,84.2,4,4,4,3,3,4,2,24,Robards et al. ,Marine Pollution Bulletin,727,North Pacific,USA,Alaska,1988,3,d,,s,,no_details,15.998,u,,,7.421052632,,n
Fulmarus glacialis,Northern fulmar,Procellariiformes,Yes,,2017,143,89.5,4,4,4,3,3,4,2,24,Terepocki et al.,Marine Pollution Bulletin,1555,North Pacific,USA,Oregon,2008,6,d,1,s,,sieve_size,127.985,p,19.5,0.461,19.5,0.461,n
